_id,Sector,Neighbor,rank,distance,pathloss,ring,type
id_KJ0002A_KJ0002B,KJ0002A,KJ0002B,2,428.25636253965325,112.63407647865105,0,3G_3G
id_KJ0002A_KJ0002C,KJ0002A,KJ0002C,3,238.13756819138857,107.53655828786927,0,3G_3G
id_KJ0002A_KJ0003A,KJ0002A,KJ0003A,4,1299.2508902209436,122.27386046129931,1,3G_3G
id_KJ0002A_KJ0003B,KJ0002A,KJ0003B,5,4419.280515985662,132.90703138982508,3,3G_3G
id_KJ0002A_KJ0003C,KJ0002A,KJ0003C,6,2137.9769060577964,126.60006019494973,2,3G_3G
id_KJ0002B_KJ0002A,KJ0002B,KJ0002A,1,3629.633508913366,131.1972555139899,3,3G_3G
id_KJ0002B_KJ0002C,KJ0002B,KJ0002C,3,4599.596673361793,133.25439502401008,3,3G_3G
id_KJ0002B_KJ0003A,KJ0002B,KJ0003A,4,2099.398261853801,126.44189666606097,2,3G_3G
id_KJ0002B_KJ0003B,KJ0002B,KJ0003B,5,1037.2591180832455,120.31774522414571,1,3G_3G
id_KJ0002B_KJ0003C,KJ0002B,KJ0003C,6,2633.8778611989055,128.41191263774527,2,3G_3G
id_KJ0002C_KJ0002A,KJ0002C,KJ0002A,1,4549.610066593286,133.15948352354354,3,3G_3G
id_KJ0002C_KJ0002B,KJ0002C,KJ0002B,2,4041.434629274733,132.13071116844486,3,3G_3G
id_KJ0002C_KJ0003A,KJ0002C,KJ0003A,4,422.56623247945356,112.51789578741763,0,3G_3G
id_KJ0002C_KJ0003B,KJ0002C,KJ0003B,5,3493.606720380151,130.86548028665362,3,3G_3G
id_KJ0002C_KJ0003C,KJ0002C,KJ0003C,6,2902.297860048873,129.25483963231267,2,3G_3G
id_KJ0003A_KJ0002A,KJ0003A,KJ0002A,1,4546.5695640974845,133.15367680661873,3,3G_3G
id_KJ0003A_KJ0002B,KJ0003A,KJ0002B,2,700.1589425664564,116.90393280154154,0,3G_3G
id_KJ0003A_KJ0002C,KJ0003A,KJ0002C,3,2716.7769547028174,128.68107969277418,2,3G_3G
id_KJ0003A_KJ0003B,KJ0003A,KJ0003B,5,4409.367198208272,132.8875253401702,3,3G_3G
id_KJ0003A_KJ0003C,KJ0003A,KJ0003C,6,2109.1165550345404,126.48201161195087,2,3G_3G
id_KJ0003B_KJ0002A,KJ0003B,KJ0002A,1,2461.7750968910486,127.8249674817296,2,3G_3G
id_KJ0003B_KJ0002B,KJ0003B,KJ0002B,2,445.2573205680956,112.97222137039535,0,3G_3G
id_KJ0003B_KJ0002C,KJ0003B,KJ0002C,3,1462.9038381996631,123.30431558727963,1,3G_3G
id_KJ0003B_KJ0003A,KJ0003B,KJ0003A,4,1690.082580927842,124.55815851316167,1,3G_3G
id_KJ0003B_KJ0003C,KJ0003B,KJ0003C,6,4731.099998849946,133.49924255213494,3,3G_3G
id_KJ0003C_KJ0002A,KJ0003C,KJ0002A,1,1485.0700666516793,123.434938889123,1,3G_3G
id_KJ0003C_KJ0002B,KJ0003C,KJ0002B,2,2358.256802821295,127.45182191828209,2,3G_3G
id_KJ0003C_KJ0002C,KJ0003C,KJ0002C,3,3389.391675464971,130.60243516939613,3,3G_3G
id_KJ0003C_KJ0003A,KJ0003C,KJ0003A,4,894.6985247985992,119.0335344253648,0,3G_3G
id_KJ0003C_KJ0003B,KJ0003C,KJ0003B,5,2483.567696995185,127.90152004950585,2,3G_3G
